product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Sharable bifurcated algorithm,Clothing,17.38,9.10,228,27
2,User-centric even-keeled encryption,Clothing,339.97,272.48,89,85
3,Face-to-face client-driven support,Toys,20.73,9.17,238,74
4,Customer-focused systematic support,Electronics,282.82,204.26,718,79
5,Quality-focused background parallelism,Toys,114.12,75.91,828,10
6,Optimized 5thgeneration algorithm,Home & Garden,350.58,193.91,159,37
7,Cross-group didactic emulation,Beauty,55.59,31.74,367,54
8,Profit-focused real-time algorithm,Books,404.53,294.65,549,25
9,Realigned dedicated structure,Toys,44.01,23.41,643,89
10,Streamlined tangible moratorium,Beauty,290.79,208.51,46,94
11,Operative directional knowledge user,Sports,387.67,326.94,875,39
12,Reverse-engineered even-keeled workforce,Clothing,193.16,116.68,854,56
13,Adaptive well-modulated workforce,Home & Garden,188.24,93.04,273,99
14,Diverse tangible interface,Clothing,306.52,146.21,746,41
15,Mandatory even-keeled collaboration,Home & Garden,233.82,121.93,947,91
16,Extended well-modulated Graphical User Interface,Sports,343.88,267.98,794,17
17,Customer-focused background implementation,Sports,411.79,313.90,410,44
18,Cross-platform heuristic hardware,Clothing,109.44,90.21,897,50
19,Robust empowering workforce,Sports,329.44,190.43,936,92
20,Balanced upward-trending knowledgebase,Automotive,75.72,35.05,762,81
21,Public-key bottom-line implementation,Books,374.77,222.16,597,61
22,Configurable neutral frame,Beauty,113.56,96.40,521,73
23,Self-enabling regional hierarchy,Clothing,379.11,298.55,156,90
24,Re-engineered content-based strategy,Home & Garden,397.08,234.27,65,59
25,Cloned 6thgeneration protocol,Toys,299.96,183.16,257,80
26,Focused zero administration frame,Electronics,341.74,154.31,906,78
27,Configurable discrete attitude,Books,385.46,213.19,300,65
28,Multi-tiered even-keeled knowledgebase,Home & Garden,229.59,190.38,896,43
29,Sharable high-level complexity,Home & Garden,256.30,114.79,640,48
30,Multi-layered heuristic database,Sports,80.66,59.94,552,77
31,Synchronized encompassing standardization,Electronics,301.48,186.88,114,56
32,Synergized secondary archive,Books,123.53,62.80,580,20
33,Robust scalable concept,Clothing,367.29,281.79,778,78
34,Public-key upward-trending encryption,Home & Garden,68.55,42.08,562,31
35,Diverse maximized implementation,Books,266.20,179.14,987,37
36,Future-proofed scalable solution,Sports,357.91,207.43,687,93
37,Realigned directional software,Beauty,221.86,140.42,123,41
38,Inverse zero administration time-frame,Sports,36.69,15.02,567,39
39,Centralized discrete alliance,Sports,8.56,6.15,60,39
40,Intuitive impactful flexibility,Clothing,453.18,356.58,72,75
41,Cloned didactic open system,Sports,142.85,88.34,552,26
42,Universal foreground data-warehouse,Automotive,125.28,76.78,416,34
43,Streamlined modular infrastructure,Clothing,52.98,31.47,433,62
44,Stand-alone logistical circuit,Automotive,432.60,183.59,669,92
45,Fundamental client-driven encryption,Clothing,35.00,25.47,819,23
46,User-friendly next generation monitoring,Sports,99.84,64.03,143,64
47,Fundamental value-added paradigm,Home & Garden,142.88,73.21,945,19
48,Optimized optimal initiative,Automotive,404.97,317.98,100,16
49,Multi-lateral directional challenge,Electronics,484.65,395.89,869,40
50,Profound modular array,Home & Garden,206.17,127.13,885,61
51,Versatile actuating budgetary management,Electronics,86.50,34.68,399,43
52,Distributed responsive complexity,Automotive,146.20,104.31,748,81
53,Synergized interactive policy,Automotive,81.62,43.55,991,17
54,Cloned human-resource implementation,Electronics,375.25,159.75,598,71
55,Right-sized maximized moderator,Home & Garden,33.16,20.84,871,33
56,Function-based neutral access,Clothing,299.54,210.83,240,61
57,Synergized uniform budgetary management,Clothing,471.09,309.20,592,86
58,Synergized national system engine,Electronics,311.59,183.42,597,82
59,Future-proofed zero administration project,Beauty,467.68,230.06,733,50
60,Mandatory bifurcated frame,Sports,136.48,62.63,660,48
61,Optional cohesive knowledgebase,Automotive,161.51,119.25,74,11
62,Adaptive uniform success,Automotive,312.47,204.15,102,19
63,Fundamental motivating task-force,Sports,255.41,117.39,357,18
64,Enhanced motivating benchmark,Sports,187.92,88.51,853,79
65,Self-enabling exuding productivity,Books,307.78,259.84,669,77
66,Profit-focused real-time customer loyalty,Electronics,335.59,217.99,954,94
67,Distributed holistic task-force,Clothing,469.77,216.30,118,23
68,Diverse needs-based time-frame,Home & Garden,139.81,93.98,734,53
69,Progressive 24hour policy,Sports,345.31,270.66,517,72
70,Inverse mobile adapter,Books,453.14,353.79,94,91
71,Customizable high-level workforce,Toys,415.53,174.46,341,26
72,Integrated disintermediate approach,Books,84.98,50.89,722,64
73,Front-line non-volatile artificial intelligence,Electronics,60.38,49.83,707,29
74,Configurable upward-trending matrix,Electronics,418.12,276.85,151,65
75,Cloned well-modulated monitoring,Home & Garden,25.71,14.50,955,15
76,Visionary clear-thinking capacity,Beauty,108.99,55.83,105,55
77,Switchable methodical neural-net,Toys,487.05,359.08,947,40
78,Down-sized empowering moderator,Home & Garden,488.22,373.41,902,62
79,Robust interactive data-warehouse,Electronics,93.78,76.53,801,62
80,Quality-focused web-enabled superstructure,Sports,137.07,103.39,110,58
81,Team-oriented dedicated structure,Electronics,430.00,215.04,836,68
82,Integrated impactful secured line,Beauty,156.07,118.29,233,38
83,Streamlined holistic intranet,Electronics,331.72,192.17,285,18
84,Programmable local capability,Books,178.82,112.52,695,78
85,Fully-configurable directional architecture,Beauty,469.92,212.36,993,43
86,Mandatory 3rdgeneration parallelism,Home & Garden,292.39,246.37,39,23
87,Reactive discrete parallelism,Toys,176.12,132.78,446,87
88,Face-to-face 24hour archive,Clothing,195.67,129.04,260,15
89,Triple-buffered responsive approach,Toys,5.84,4.77,551,97
90,Focused asymmetric alliance,Sports,185.29,79.95,680,52
91,Managed asynchronous migration,Beauty,333.38,152.05,921,48
92,Front-line even-keeled secured line,Books,335.11,183.23,713,47
93,Pre-emptive didactic moratorium,Home & Garden,99.96,69.89,388,96
94,De-engineered uniform orchestration,Home & Garden,309.68,165.81,561,10
95,Re-engineered methodical encryption,Books,147.02,87.25,593,87
96,Phased incremental core,Beauty,235.17,140.86,218,75
97,Cross-platform bandwidth-monitored protocol,Automotive,397.90,331.02,753,31
98,Optional heuristic interface,Clothing,145.47,101.64,634,52
99,Open-source maximized superstructure,Clothing,410.12,302.67,688,49
100,Business-focused systematic projection,Sports,404.25,188.51,47,41
101,Stand-alone bandwidth-monitored approach,Automotive,307.58,229.40,466,63
102,Open-architected upward-trending Graphical User Interface,Sports,360.58,206.54,409,41
103,Customer-focused dynamic core,Home & Garden,329.75,132.72,768,23
104,Ergonomic national knowledge user,Toys,113.33,86.34,712,76
105,Devolved interactive contingency,Automotive,29.86,15.29,868,25
106,Grass-roots maximized encryption,Automotive,71.00,43.25,543,81
107,Compatible leadingedge workforce,Beauty,475.27,380.76,627,74
108,Reactive bandwidth-monitored application,Toys,416.13,269.05,918,30
109,Streamlined needs-based access,Automotive,227.78,168.17,860,91
110,Cross-group web-enabled encoding,Books,384.08,243.73,641,40
111,Down-sized incremental matrix,Books,222.74,160.62,240,44
112,Polarized didactic initiative,Beauty,163.26,104.99,141,29
113,Centralized composite implementation,Sports,194.60,91.22,219,18
114,Adaptive human-resource firmware,Toys,206.76,133.19,425,17
115,Persevering executive interface,Sports,417.28,240.05,788,84
116,Total upward-trending toolset,Electronics,429.08,319.46,389,71
117,Realigned stable structure,Electronics,471.66,252.04,399,63
118,Pre-emptive coherent core,Sports,246.67,128.96,497,13
119,Implemented didactic approach,Toys,171.38,120.93,414,31
120,Reduced user-facing moratorium,Automotive,460.17,387.15,546,13
121,Centralized value-added functionalities,Toys,297.99,208.10,85,92
122,Centralized actuating paradigm,Toys,72.17,43.86,51,43
123,Polarized motivating moderator,Toys,167.04,100.99,345,58
124,Diverse analyzing migration,Books,377.24,292.12,258,20
125,Configurable contextually-based architecture,Automotive,14.59,9.38,974,54
126,Right-sized asymmetric service-desk,Sports,326.82,245.62,667,15
127,Front-line impactful capability,Electronics,475.06,232.64,20,89
128,Re-contextualized dynamic paradigm,Home & Garden,123.08,75.46,117,82
129,Right-sized 6thgeneration process improvement,Sports,235.19,121.20,377,31
130,Configurable intangible protocol,Clothing,390.01,184.75,318,23
131,Reduced non-volatile model,Electronics,464.80,306.35,929,58
132,Intuitive empowering database,Toys,471.03,230.45,606,98
133,Synchronized transitional functionalities,Sports,55.44,41.45,870,97
134,Front-line empowering infrastructure,Clothing,399.13,261.30,42,54
135,De-engineered static project,Toys,332.45,143.30,663,53
136,Innovative logistical functionalities,Electronics,425.54,327.69,108,65
137,Versatile asynchronous access,Beauty,319.61,247.03,724,29
138,Persevering regional open system,Toys,92.19,58.52,666,44
139,Cross-platform asynchronous monitoring,Automotive,235.11,181.41,606,44
140,Extended motivating firmware,Beauty,426.60,330.12,88,45
141,De-engineered grid-enabled architecture,Automotive,125.71,76.57,624,95
142,Fully-configurable holistic forecast,Toys,171.52,106.76,332,33
143,Diverse leadingedge moratorium,Automotive,110.00,83.49,348,45
144,Triple-buffered exuding pricing structure,Books,280.12,177.17,195,20
145,Streamlined multi-tasking access,Sports,361.44,224.04,776,40
146,Synchronized neutral framework,Automotive,324.72,201.61,811,12
147,Switchable bi-directional challenge,Clothing,150.65,87.68,249,49
148,Fundamental bifurcated benchmark,Beauty,239.26,152.87,435,80
149,User-friendly neutral collaboration,Beauty,179.15,108.24,313,42
150,Future-proofed executive portal,Sports,64.72,31.50,122,78
151,Expanded transitional Graphical User Interface,Home & Garden,99.81,73.10,283,85
152,Expanded systemic productivity,Books,490.35,379.87,303,39
153,Fundamental motivating matrix,Beauty,93.82,38.13,546,26
154,Function-based actuating array,Books,27.53,11.69,299,99
155,Sharable interactive focus group,Home & Garden,320.75,236.96,105,11
156,Balanced 24hour groupware,Books,237.35,141.99,188,16
157,Visionary clear-thinking productivity,Books,470.83,289.55,841,18
158,Fundamental cohesive support,Toys,248.41,163.87,702,16
159,Organic neutral strategy,Home & Garden,78.85,51.51,311,20
160,Optimized next generation access,Sports,63.63,47.34,620,86
161,Customizable asynchronous solution,Sports,388.97,222.17,930,66
162,Distributed needs-based alliance,Books,430.78,364.23,312,82
163,Multi-layered optimal neural-net,Electronics,306.77,224.87,970,36
164,Digitized intermediate capacity,Sports,136.00,59.37,245,32
165,Balanced fault-tolerant hierarchy,Clothing,82.48,48.15,705,86
166,Balanced heuristic database,Automotive,149.17,75.21,723,46
167,Synergized dynamic secured line,Automotive,40.23,20.32,270,90
168,Customer-focused heuristic time-frame,Sports,215.44,138.97,663,29
169,Realigned incremental process improvement,Books,414.18,178.98,169,49
170,User-friendly coherent encoding,Books,222.38,135.86,311,99
171,Diverse context-sensitive installation,Toys,471.62,294.86,505,66
172,Assimilated context-sensitive support,Clothing,301.03,240.90,752,51
173,Managed zero tolerance installation,Books,17.80,8.95,690,83
174,Synchronized user-facing workforce,Electronics,499.79,351.12,275,83
175,Fully-configurable encompassing complexity,Electronics,382.74,183.27,531,93
176,Total bi-directional implementation,Automotive,458.46,220.83,599,65
177,Automated methodical definition,Automotive,484.68,296.38,418,52
178,Exclusive logistical hardware,Beauty,336.72,264.66,337,62
179,Integrated discrete definition,Automotive,147.67,121.88,833,80
180,Assimilated stable core,Electronics,230.14,124.63,331,24
181,Open-architected full-range focus group,Toys,433.13,334.04,1,94
182,Cloned zero administration focus group,Automotive,209.56,101.51,370,89
183,Monitored secondary migration,Automotive,314.58,233.42,208,44
184,Open-architected systematic monitoring,Home & Garden,464.20,277.20,715,72
185,Managed 4thgeneration budgetary management,Clothing,19.29,13.18,818,40
186,Fundamental context-sensitive paradigm,Home & Garden,158.82,64.51,417,21
187,Fundamental 5thgeneration benchmark,Sports,496.17,402.30,472,25
188,Right-sized intermediate hardware,Home & Garden,251.70,181.85,521,100
189,Upgradable zero tolerance functionalities,Books,210.67,130.01,483,41
190,Optional real-time migration,Automotive,277.88,159.12,943,86
191,Customizable human-resource orchestration,Home & Garden,432.69,226.86,808,63
192,Ergonomic eco-centric analyzer,Beauty,467.45,293.78,840,10
193,Triple-buffered intermediate ability,Books,364.40,283.09,593,94
194,Programmable national software,Automotive,433.30,260.39,495,54
195,Up-sized user-facing support,Beauty,278.20,179.31,466,51
196,Synchronized dedicated hierarchy,Sports,490.48,248.90,392,39
197,Optional asymmetric secured line,Toys,26.61,19.56,722,58
198,Managed regional functionalities,Toys,494.26,373.95,667,29
199,Switchable bottom-line success,Automotive,482.59,220.45,988,85
200,Innovative motivating function,Beauty,435.50,345.52,450,22
201,Synchronized incremental Graphic Interface,Automotive,12.60,5.86,891,93
202,Open-architected tangible frame,Home & Garden,42.04,31.60,271,53
203,Reactive clear-thinking core,Toys,326.67,255.88,872,96
204,Operative static implementation,Toys,477.30,325.55,908,72
205,Synergistic value-added conglomeration,Electronics,310.64,157.07,700,46
206,Seamless non-volatile framework,Sports,374.65,223.02,100,91
207,Open-architected neutral ability,Clothing,224.62,160.00,925,13
208,Innovative executive database,Electronics,165.57,70.41,367,57
209,Optional zero tolerance paradigm,Toys,77.06,49.24,579,97
210,Robust solution-oriented Graphic Interface,Home & Garden,89.14,38.82,891,58
211,Persistent leadingedge intranet,Sports,251.35,166.50,237,69
212,Synergistic didactic migration,Books,232.49,162.76,920,69
213,Phased user-facing concept,Books,340.42,160.37,452,54
214,Switchable attitude-oriented forecast,Books,321.27,189.85,256,68
215,Profound stable productivity,Books,103.61,59.38,494,23
216,Secured full-range array,Sports,193.78,108.81,302,99
217,Versatile disintermediate service-desk,Books,15.86,12.27,405,45
